biocar;dosep;bloc;altini;diaini;altfin;diafin;mfpa;mfr;mspa;msr;ph;phkcl;pcz;p;k;ca;mg;hal;are;sil;arg
S_BP;0;I;17.6;2.2;83;6.2;51.1;21.4;12.7;10.1;7.6;7.2;6.8;42.3;21.1;5.9;0.9;1;69.4;15.1;15.5
S_BP;0;II;17.6;2.2;57;5.1;44;7.3;9.8;6;7.2;6.5;5.8;35.2;16.5;4.3;2.6;1.2;71.3;13.6;15.1
S_BP;0;III;17.6;2.2;58;5.6;41.3;12.1;8.7;6.5;7.3;6.6;5.9;35.8;13.4;5.2;1.2;1;70.3;14.5;15.2
S_BP;1.5;I;17.6;2.2;64;6.4;58.1;15.4;14.5;7.5;7.1;6.7;6.3;64.1;12.5;4.8;1.5;1.1;70.3;14.5;15.2
S_BP;1.5;II;17.6;2.2;64;5.5;35;7.6;6.8;4.1;6.1;5.3;4.5;67.6;15;4.1;1.2;1.7;70.6;14;15.4
S_BP;1.5;III;17.6;2.2;83;5.8;61.4;31;15.2;11.7;6.7;6.1;5.5;57.2;15.8;4.6;1.7;1.2;70.9;13.8;15.4
S_BP;3;I;17.6;2.2;59;6.6;68.4;18.5;19.4;9.7;7.3;7.1;6.9;73.6;13.5;6.1;1.3;1.1;70.9;13.9;15.2
S_BP;3;II;17.6;2.2;67;6.3;56.1;18.8;13;8.4;7.6;7.3;7;73;16.6;5.3;2.6;1;69.8;15;15.2
S_BP;3;III;17.6;2.2;60;6.4;52.7;5.3;12.4;4.2;5.6;5.1;4.6;33.6;13.6;4.3;1.8;2.1;70.8;13.8;15.4
S_BP;6;I;17.6;2.2;66;6.1;57.6;17.9;16.8;9.4;6.7;5.8;4.9;43.3;16.3;4.7;2.5;1.7;70.2;14.1;15.7
S_BP;6;II;17.6;2.2;61;5.5;44.3;12.3;9.6;6;6.6;5.9;5.2;43.3;13.9;4.2;0.5;1.7;70.4;13.6;16
S_BP;6;III;17.6;2.2;71;6.6;65.2;14.9;18.2;8.2;6.8;6.7;6.6;46.7;28;5.9;2.4;1.3;71.8;12.7;15.5
S_BP;12;I;17.6;2.2;82;7.4;73.7;28.8;21.4;15.3;6.7;6.5;6.3;82.9;17.6;5.9;2.2;1.5;70.7;14;15.4
S_BP;12;II;17.6;2.2;82;6.3;72.6;24;19.5;11.9;6.6;6.6;6.6;136.2;16;6.5;2.7;1.7;69.8;14.4;15.9
S_BP;12;III;17.6;2.2;80;6.4;58.6;22.8;15.8;7.7;6.7;6.5;6.3;76.4;15.6;6.1;1.6;1.5;69.8;14.7;15.5
S_BP;24;I;17.6;2.2;82;6.4;60.5;11.8;17;7.7;5.5;5.1;4.7;65.6;19.1;4.4;1.9;2.3;70;14.2;15.8
S_BP;24;II;17.6;2.2;81;6.5;66.3;22.4;20.4;9.6;7;6.8;6.6;88.9;8.9;6;2.2;1.3;69;15;16.1
S_BP;24;III;17.6;2.2;92;8;80.3;22.8;22.9;10.6;6.1;5.1;4.1;150.2;21.2;6.2;2.5;2.3;67.2;15.8;17.1
S_BP;48;I;17.6;2.2;86;6.8;73.5;34.4;21.4;15.1;6.6;6.4;6.2;181.3;11.6;5.8;2.1;1.9;69.6;14.5;15.9
S_BP;48;II;17.6;2.2;85;6.7;73.7;24.8;21.6;13.7;6.6;6.2;5.8;141.8;17.5;5.6;2.1;1.9;69.2;14.6;16.2
S_BP;48;III;17.6;2.2;93;6.8;74;20.9;20.8;11.4;6.2;5.4;4.6;142.2;13;5;1.2;2.6;69.1;14.6;16.3
S_BP;96;I;17.6;2.2;76;6.7;76.1;31.2;21.6;15.2;6.7;6.2;5.7;222.2;12.8;6;1.7;2.1;69.2;15.1;15.7
S_BP;96;II;17.6;2.2;82;6.9;72.7;23.4;21.1;14.5;6.4;6;5.6;329.5;8.6;6.4;1.3;3.2;69.9;14.9;15.3
S_BP;96;III;17.6;2.2;82;7.4;75.3;25.6;20.5;19.7;6.2;6;5.8;293.5;16.2;6.1;1.2;2.9;71.3;13.3;15.5
S_BP;192;I;17.6;2.2;80;6.4;72.9;38.9;17.8;24.5;4.3;3.8;3.3;341;6.8;3.8;1.1;7.9;71.7;14.2;14.1
S_BP;192;II;17.6;2.2;77;6.1;72.6;27;19;16.8;4.4;3.8;3.2;385.4;4.8;4.3;1.9;7.9;69.8;16.4;13.8
S_BP;192;III;17.6;2.2;75;6.1;71;29.5;17.3;12.2;4.9;3;1.1;343.7;7.2;4.2;1.8;5;71.1;15.1;13.9
S_BP;384;I;17.6;2.2;70;5.3;49.6;10.3;11.1;5.1;4.9;4.4;3.9;317.1;8.4;3.2;1.5;8.8;72.9;15.2;12
S_BP;384;II;17.6;2.2;62;4.7;42.7;18.5;9.1;7.6;3.3;2.9;2.5;312.2;2.5;3.2;0.9;17.1;72.2;16.6;11.2
S_BP;384;III;17.6;2.2;43;4.3;27.8;33;4.6;10;3.3;3;2.7;373;3.3;2;1.2;11;72;16.3;11.8
SP_B;0;I;17.6;2.2;74;6.1;57.2;22.6;16.8;13.5;7;6.7;6.4;46.6;17.7;6.4;0.5;1.2;70.2;14.4;15.4
SP_B;0;II;17.6;2.2;82;6.2;47.4;5.2;13.4;4.2;7;6.5;6;41.5;18.8;5.1;1;1.3;70.1;14.4;15.5
SP_B;0;III;17.6;2.2;54;6.3;57.6;27.9;17;12.8;6.8;6.3;5.8;46.3;18.4;5.4;1.4;1.3;70.4;14.4;15.3
