biocar;dosep;bloc;tens;umid
SP_B;0;I;0;0.439
SP_B;0;I;1;0.411
SP_B;0;I;2;0.384
SP_B;0;I;4;0.334
SP_B;0;I;6;0.258
SP_B;0;I;8;0.221
SP_B;0;I;10;0.197
SP_B;0;I;33;0.136
SP_B;0;I;66;0.132
SP_B;0;I;100;0.124
SP_B;0;I;300;0.122
SP_B;0;I;1500;0.104
SP_B;0;II;0;0.451
SP_B;0;II;1;0.425
SP_B;0;II;2;0.27
SP_B;0;II;4;0.23
SP_B;0;II;6;0.23
SP_B;0;II;8;0.215
SP_B;0;II;10;0.184
SP_B;0;II;33;0.127
SP_B;0;II;66;0.126
SP_B;0;II;100;0.116
SP_B;0;II;300;0.114
SP_B;0;II;1500;0.091
SP_B;0;III;0;0.467
SP_B;0;III;1;0.405
SP_B;0;III;2;0.379
SP_B;0;III;4;0.326
SP_B;0;III;6;0.271
SP_B;0;III;8;0.23
SP_B;0;III;10;0.188
SP_B;0;III;33;0.134
SP_B;0;III;66;0.129
SP_B;0;III;100;0.124
SP_B;0;III;300;0.123
SP_B;0;III;1500;0.096
SP_B;1.5;I;0;0.488
SP_B;1.5;I;1;0.411
SP_B;1.5;I;2;0.407
SP_B;1.5;I;4;0.317
SP_B;1.5;I;6;0.226
SP_B;1.5;I;8;0.197
SP_B;1.5;I;10;0.175
SP_B;1.5;I;33;0.127
SP_B;1.5;I;66;0.121
SP_B;1.5;I;100;0.121
SP_B;1.5;I;300;0.116
SP_B;1.5;I;1500;0.096
SP_B;1.5;II;0;0.456
SP_B;1.5;II;1;0.376
SP_B;1.5;II;2;0.349
SP_B;1.5;II;4;0.305
SP_B;1.5;II;6;0.151
SP_B;1.5;II;8;0.144
SP_B;1.5;II;10;0.142
SP_B;1.5;II;33;0.107
SP_B;1.5;II;66;0.099
SP_B;1.5;II;100;0.097
SP_B;1.5;II;300;0.092
SP_B;1.5;II;1500;0.088
SP_B;1.5;III;0;0.457
SP_B;1.5;III;1;0.414
SP_B;1.5;III;2;0.402
SP_B;1.5;III;4;0.262
SP_B;1.5;III;6;0.25
SP_B;1.5;III;8;0.223
SP_B;1.5;III;10;0.198
SP_B;1.5;III;33;0.129
SP_B;1.5;III;66;0.121
SP_B;1.5;III;100;0.116
SP_B;1.5;III;300;0.116
SP_B;1.5;III;1500;0.096
SP_B;3;I;0;0.492
SP_B;3;I;1;0.45
SP_B;3;I;2;0.406
SP_B;3;I;4;0.318
SP_B;3;I;6;0.281
SP_B;3;I;8;0.213
