solo;tensao;posi;prof;rep;dsi;dsp;thetai;ppc;trt;ue
LVd;6;Entrelinha;0.00-0.05 m;1;0.84;0.9;0.5064209095;125.2305;LVd_Entrelinha_0.00-0.05 m;LVd_Entrelinha_0.00-0.05 m_1
LVd;6;Entrelinha;0.00-0.05 m;2;0.82;0.82;0.4807432939;86.3501;LVd_Entrelinha_0.00-0.05 m;LVd_Entrelinha_0.00-0.05 m_2
LVd;6;Entrelinha;0.00-0.05 m;3;0.99;0.99;0.4645376427;207.5068;LVd_Entrelinha_0.00-0.05 m;LVd_Entrelinha_0.00-0.05 m_3
LVd;6;Entrelinha;0.10-0.15 m;1;0.84;0.99;0.4509484292;256.7224;LVd_Entrelinha_0.10-0.15 m;LVd_Entrelinha_0.10-0.15 m_1
LVd;6;Entrelinha;0.10-0.15 m;2;0.95;0.99;0.4212649662;120.3019;LVd_Entrelinha_0.10-0.15 m;LVd_Entrelinha_0.10-0.15 m_2
LVd;6;Entrelinha;0.10-0.15 m;3;0.99;1.04;0.4742255266;196.4996;LVd_Entrelinha_0.10-0.15 m;LVd_Entrelinha_0.10-0.15 m_3
LVd;6;Entrelinha;0.20-0.25 m;1;0.83;0.92;0.4644183168;100.1766;LVd_Entrelinha_0.20-0.25 m;LVd_Entrelinha_0.20-0.25 m_1
LVd;6;Entrelinha;0.20-0.25 m;2;0.92;0.95;0.4539527302;100.3347;LVd_Entrelinha_0.20-0.25 m;LVd_Entrelinha_0.20-0.25 m_2
LVd;6;Entrelinha;0.20-0.25 m;3;0.91;0.97;0.5006847439;257.7682;LVd_Entrelinha_0.20-0.25 m;LVd_Entrelinha_0.20-0.25 m_3
LVd;6;Linha;0.00-0.05 m;1;0.86;0.87;0.4344394094;83.0566;LVd_Linha_0.00-0.05 m;LVd_Linha_0.00-0.05 m_1
LVd;6;Linha;0.00-0.05 m;2;0.95;0.97;0.455758056;124.6787;LVd_Linha_0.00-0.05 m;LVd_Linha_0.00-0.05 m_2
LVd;6;Linha;0.00-0.05 m;3;0.86;0.9;0.4509090909;97.8404;LVd_Linha_0.00-0.05 m;LVd_Linha_0.00-0.05 m_3
LVd;6;Linha;0.10-0.15 m;1;0.85;0.91;0.4552774118;106.7067;LVd_Linha_0.10-0.15 m;LVd_Linha_0.10-0.15 m_1
LVd;6;Linha;0.10-0.15 m;2;0.99;0.99;0.4321292072;125.2147;LVd_Linha_0.10-0.15 m;LVd_Linha_0.10-0.15 m_2
LVd;6;Linha;0.10-0.15 m;3;0.87;0.92;0.4586302167;120.6362;LVd_Linha_0.10-0.15 m;LVd_Linha_0.10-0.15 m_3
LVd;6;Linha;0.20-0.25 m;1;0.8;0.89;0.4599598827;79.5122;LVd_Linha_0.20-0.25 m;LVd_Linha_0.20-0.25 m_1
LVd;6;Linha;0.20-0.25 m;2;0.86;0.9;0.4499927209;60.3752;LVd_Linha_0.20-0.25 m;LVd_Linha_0.20-0.25 m_2
LVd;6;Linha;0.20-0.25 m;3;0.89;0.97;0.4361597758;126.629;LVd_Linha_0.20-0.25 m;LVd_Linha_0.20-0.25 m_3
LVd;33;Entrelinha;0.00-0.05 m;1;0.78;0.81;0.4378795339;93.2303;LVd_Entrelinha_0.00-0.05 m;LVd_Entrelinha_0.00-0.05 m_1
LVd;33;Entrelinha;0.00-0.05 m;2;0.91;0.91;0.4029119608;129.9128;LVd_Entrelinha_0.00-0.05 m;LVd_Entrelinha_0.00-0.05 m_2
LVd;33;Entrelinha;0.00-0.05 m;3;0.91;0.93;0.3805817288;314.3249;LVd_Entrelinha_0.00-0.05 m;LVd_Entrelinha_0.00-0.05 m_3
LVd;33;Entrelinha;0.10-0.15 m;1;0.89;0.94;0.3777033626;172.6116;LVd_Entrelinha_0.10-0.15 m;LVd_Entrelinha_0.10-0.15 m_1
LVd;33;Entrelinha;0.10-0.15 m;2;1.05;1.08;0.3609004739;233.6362;LVd_Entrelinha_0.10-0.15 m;LVd_Entrelinha_0.10-0.15 m_2
LVd;33;Entrelinha;0.10-0.15 m;3;0.98;1.04;0.3787483703;223.4439;LVd_Entrelinha_0.10-0.15 m;LVd_Entrelinha_0.10-0.15 m_3
LVd;33;Entrelinha;0.20-0.25 m;1;0.85;0.92;0.3788461538;145.0159;LVd_Entrelinha_0.20-0.25 m;LVd_Entrelinha_0.20-0.25 m_1
LVd;33;Entrelinha;0.20-0.25 m;2;0.93;0.95;0.3606837607;167.9562;LVd_Entrelinha_0.20-0.25 m;LVd_Entrelinha_0.20-0.25 m_2
LVd;33;Entrelinha;0.20-0.25 m;3;0.91;0.92;0.3674055829;148.6978;LVd_Entrelinha_0.20-0.25 m;LVd_Entrelinha_0.20-0.25 m_3
LVd;33;Linha;0.00-0.05 m;1;0.81;0.83;0.3725551071;77.8694;LVd_Linha_0.00-0.05 m;LVd_Linha_0.00-0.05 m_1
LVd;33;Linha;0.00-0.05 m;2;0.87;0.87;0.3683156992;82.7831;LVd_Linha_0.00-0.05 m;LVd_Linha_0.00-0.05 m_2
LVd;33;Linha;0.00-0.05 m;3;0.86;0.86;0.3629382788;86.3096;LVd_Linha_0.00-0.05 m;LVd_Linha_0.00-0.05 m_3
LVd;33;Linha;0.10-0.15 m;1;0.82;0.89;0.3711722858;136.7405;LVd_Linha_0.10-0.15 m;LVd_Linha_0.10-0.15 m_1
LVd;33;Linha;0.10-0.15 m;2;0.88;0.92;0.3590143039;126.9937;LVd_Linha_0.10-0.15 m;LVd_Linha_0.10-0.15 m_2
LVd;33;Linha;0.10-0.15 m;3;0.87;0.93;0.3595714286;159.9572;LVd_Linha_0.10-0.15 m;LVd_Linha_0.10-0.15 m_3
LVd;33;Linha;0.20-0.25 m;1;0.92;0.94;0.3856768318;146.7911;LVd_Linha_0.20-0.25 m;LVd_Linha_0.20-0.25 m_1
