epoc;bloc;N;P;msf;Kraiz;Kfolh
259;I;8.19;114.75043597;9.18495;0.6823132626;0.4343219919
259;I;37.8;19.12322488;4.2962;0.6327150084;0.7815097709
259;I;37.8;114.75043597;6.8628;0.5335185001;0.5335185001
259;I;37.8;267.72402086;8.8055;0.6327150084;0.6327150084
259;I;63;191.23149716;9.35335;0.5335185001;0.5831167543
259;I;88.2;114.75043597;7.65205;0.5831167543;0.5831167543
259;I;88.2;267.72402086;8.47305;0.5335185001;0.5335185001
259;I;88.2;363.33976944;11.25935;0.4343219919;0.483920246
259;I;119.7;267.72402086;10.27695;0.6327150084;0.5335185001
259;II;8.19;114.75043597;8.8414;0.6327150084;0.3847237377
259;II;37.8;19.12322488;5.26075;0.5335185001;0.831108025
259;II;37.8;114.75043597;6.70835;0.5335185001;0.7319115167
259;II;37.8;267.72402086;2.32495;0.5831167543;0.5831167543
259;II;63;191.23149716;6.40755;0.5831167543;0.6327150084
259;II;88.2;114.75043597;11.6437;0.4343219919;0.483920246
259;II;88.2;267.72402086;9.8218;0.7319115167;0.6327150084
259;II;88.2;363.33976944;6.806;0.5335185001;0.5335185001
259;II;119.7;267.72402086;14.44225;0.4343219919;0.6823132626
259;III;8.19;114.75043597;7.54845;0.6327150084;0.6823132626
259;III;37.8;19.12322488;3.5985;0.5831167543;0.9303045333
259;III;37.8;114.75043597;7.93545;0.9303045333;0.6327150084
259;III;37.8;267.72402086;7.549;0.7319115167;0.7319115167
259;III;63;191.23149716;3.8605;0.7319115167;0.5335185001
259;III;88.2;114.75043597;11.3973;0.7319115167;0.483920246
259;III;88.2;267.72402086;1.09255;0.5831167543;0.6823132626
259;III;88.2;363.33976944;7.1625;0.6327150084;0.5831167543
259;III;119.7;267.72402086;12.11245;0.7319115167;0.7319115167
259;IV;8.19;114.75043597;4.04045;0.5335185001;0.5831167543
259;IV;37.8;19.12322488;5.52625;0.5335185001;0.6327150084
259;IV;37.8;114.75043597;10.3535;0.6575141355;0.5335185001
259;IV;37.8;267.72402086;6.8236;0.5335185001;0.7319115167
259;IV;63;191.23149716;2.8765;0.483920246;0.5831167543
259;IV;88.2;114.75043597;8.60115;0.7815097709;0.6327150084
259;IV;88.2;267.72402086;8.96955;0.5335185001;0.483920246
259;IV;88.2;363.33976944;4.06405;0.6327150084;0.7319115167
259;IV;119.7;267.72402086;6.9315;0.5831167543;0.5335185001
770;I;8.19;114.75043597;0.373;0.2855272294;NA
770;I;37.8;19.12322488;0;0.2359289753;NA
770;I;37.8;114.75043597;0.0788;0.2855272294;NA
770;I;37.8;267.72402086;1.0192;0.2855272294;NA
770;I;63;191.23149716;0;0.2359289753;NA
770;I;88.2;114.75043597;0;0.2359289753;NA
770;I;88.2;267.72402086;0;0.4343219919;NA
770;I;88.2;363.33976944;0.253;0.2855272294;NA
770;I;119.7;267.72402086;0;0.2855272294;NA
770;II;8.19;114.75043597;0;0.2855272294;NA
770;II;37.8;19.12322488;0.79585;0.483920246;NA
770;II;37.8;114.75043597;0.06745;0.3351254836;NA
770;II;37.8;267.72402086;0;0.6823132626;NA
770;II;63;191.23149716;1.6321;0.1873234798;NA
770;II;88.2;114.75043597;0.3332;0.2855272294;NA
770;II;88.2;267.72402086;0;0.2359289753;NA
770;II;88.2;363.33976944;1.74895;0.3351254836;NA
770;II;119.7;267.72402086;0.3923;0.3351254836;NA
770;III;8.19;114.75043597;0.30205;0.2855272294;NA
770;III;37.8;19.12322488;0.6972;0.2359289753;NA
770;III;37.8;114.75043597;0.40655;0.3351254836;NA
770;III;37.8;267.72402086;0.17775;0.3847237377;NA
770;III;63;191.23149716;NA;NA;NA
770;III;88.2;114.75043597;0.767;0.2855272294;NA
770;III;88.2;267.72402086;NA;NA;NA
770;III;88.2;363.33976944;0;0.3351254836;NA
770;III;119.7;267.72402086;0.0966;0.3351254836;NA
770;IV;8.19;114.75043597;0;0.2855272294;0.5831167543
770;IV;37.8;19.12322488;1.7447;0.3351254836;0.483920246
770;IV;37.8;114.75043597;0.4001;0.3351254836;0.483920246
770;IV;37.8;267.72402086;0.482;0.2855272294;0.3847237377
770;IV;63;191.23149716;0.0372;0.2855272294;0.6823132626
770;IV;88.2;114.75043597;1.4057;0.3351254836;0.3351254836
770;IV;88.2;267.72402086;0.4978;0.3351254836;0.5335185001
770;IV;88.2;363.33976944;1.3923;0.2359289753;1.0790992957
770;IV;119.7;267.72402086;1.2249;0.1863307212;0.5831167543
