unid;rept;tens;ppc;umid;ds;co
1;1;0;NA;0.485;NA;NA
1;1;1;135.07;0.379;1.34095458359759;3.5
1;1;2;126.66;0.313;1.3767392255423;3.2
1;1;6;136.83;0.168;1.46101416656084;3.6
1;1;10;219.52;0.121;1.36323384360548;3.3
1;1;33;239.6;0.107;1.43545762211499;3.1
1;1;100;250.66;0.084;1.37799596111487;3.1
1;1;1500;437.79;0.068;1.28939062569486;3.3
1;1;10000;496.14;0.045;1.30599458006691;3.2
1;2;0;NA;0.495;NA;NA
1;2;1;142.25;0.39;1.35425959715634;3.2
1;2;2;113.63;0.329;1.32241268734967;3
1;2;6;123.01;0.161;1.41311184228132;3.2
1;2;10;186.85;0.116;1.3906328144812;3.3
1;2;33;235.63;0.103;1.35709871580866;2.9
1;2;100;226.74;0.081;1.37388365190667;3.4
1;2;1500;444.65;0.066;1.21773472776967;3.1
1;2;10000;501.18;0.046;1.31399884995788;3.3
1;3;0;NA;0.482;NA;NA
1;3;1;140.77;0.35;1.38152028100597;3.3
1;3;2;125.6;0.323;1.42333053736693;3.1
1;3;6;143.12;0.161;1.35155452601837;3.6
1;3;10;178.1;0.125;1.40170320068943;3.4
1;3;33;249.67;0.103;1.39327597577499;3.3
1;3;100;220.91;0.093;1.39420773418317;3.5
1;3;1500;467.32;0.068;1.3494888207478;3.4
1;3;10000;485.07;0.044;1.32143571648998;3.1
1;4;0;NA;0.494;NA;NA
1;4;1;132.45;0.386;1.31675080007778;3.4
1;4;2;142.88;0.332;1.35536332381992;3.4
1;4;6;131.8;0.163;1.38350315355161;3.2
1;4;10;206.71;0.112;1.38845920243339;3.4
1;4;33;241.76;0.101;1.37042748333628;3.2
1;4;100;240.06;0.091;1.37479616019462;3.8
1;4;1500;455.07;0.053;1.27834709021816;3.5
1;4;10000;516.23;0.047;1.29965091787722;3.7
2;1;0;NA;0.519;NA;NA
2;1;1;122.91;0.362;1.29982258299665;4.1
2;1;2;121.78;0.316;1.35427687675828;4.2
2;1;6;143.55;0.19;1.26560416330205;4
2;1;10;162.08;0.173;1.29615562545325;4.3
2;1;33;183.06;0.152;1.37995487464674;4
2;1;100;195.57;0.136;1.30183436497539;4.3
2;1;1500;375.56;0.105;1.33220116753277;4
2;1;10000;403.45;0.079;1.39317525364438;4.5
2;2;0;NA;0.533;NA;NA
2;2;1;127.9;0.343;1.24822468748928;4.2
2;2;2;148.59;0.286;1.1873799131915;4.3
2;2;6;149.39;0.183;1.25333062210002;4.5
2;2;10;120.86;0.156;1.29623692145523;4.7
2;2;33;170.81;0.141;1.3614899589206;4.1
2;2;100;218.76;0.122;1.23781571086775;4.4
2;2;1500;370.01;0.102;1.35266824133974;4.2
2;2;10000;408.74;0.077;1.38215702391392;4.1
2;3;0;NA;0.524;NA;NA
2;3;1;116.03;0.36;1.32604764411139;4
2;3;2;133.64;0.294;1.26526842701513;4.1
2;3;6;124.21;0.19;1.30694250453541;4.4
2;3;10;160.82;0.17;1.34815075540494;4.2
2;3;33;171.45;0.129;1.29574906493028;4.3
2;3;100;224.28;0.113;1.24055994430469;4.1
2;3;1500;373.67;0.104;1.3103927354595;4.3
2;3;10000;404.96;0.081;1.41157415485283;4.1
2;4;0;NA;0.531;NA;NA
2;4;1;119.48;0.363;1.16564725456138;4
2;4;2;132.42;0.318;1.30740979970763;4.4
2;4;6;142.66;0.195;1.34179216307442;4.4
2;4;10;150.19;0.17;1.38714155404199;4
2;4;33;193.91;0.15;1.30890583115959;4.3
2;4;100;213.14;0.12;1.29689287943743;4.2
2;4;1500;364.07;0.087;1.22045070067312;4.4
2;4;10000;414.13;0.074;1.32558737946088;4.1
3;1;0;NA;0.55;NA;NA
3;1;1;141;0.467;1.26092600026079;5
3;1;2;126.49;0.421;1.23520924714651;5.2
3;1;6;141.54;0.296;1.24259064192439;4.8
3;1;10;175.38;0.209;1.24549219789141;5.3
3;1;33;229.71;0.186;1.23283654923081;4.9
3;1;100;234.38;0.17;1.24145789424782;5.3
3;1;1500;375.33;0.139;1.2225729515301;5.1
3;1;10000;389.64;0.098;1.21517165221125;4.9
3;2;0;NA;0.55;NA;NA
3;2;1;107.92;0.459;1.22417383757687;5.1
3;2;2;129.49;0.41;1.22663281880253;5.5
3;2;6;158.9;0.259;1.27401875047998;5
3;2;10;169.75;0.216;1.23720679340394;5.4
3;2;33;223.02;0.175;1.26105766780385;5.5
3;2;100;232.07;0.161;1.24800027125489;5.5
3;2;1500;404.54;0.141;1.23420398939194;5.1
3;2;10000;400.61;0.101;1.18708643966016;5.2
3;3;0;NA;0.549;NA;NA
3;3;1;109.09;0.445;1.19680762089626;5
3;3;2;157.47;0.413;1.27462111924918;4.9
3;3;6;155.31;0.248;1.25801106527775;5.1
3;3;10;167.48;0.206;1.23246651324805;5.1
3;3;33;212.6;0.185;1.24969304865274;5
3;3;100;232.44;0.169;1.29225422812991;4.9
3;3;1500;382.01;0.144;1.19977903021447;5.4
3;3;10000;391.27;0.099;1.2219449149513;5
3;4;0;NA;0.546;NA;NA
3;4;1;119.75;0.447;1.20887088142277;4.9
3;4;2;129.31;0.417;1.21435014325398;5
3;4;6;156.25;0.258;1.27154309307707;5.2
3;4;10;171.45;0.203;1.25661704468239;5.1
3;4;33;212.7;0.191;1.32156191606179;5.2
3;4;100;232.28;0.168;1.26950407720639;5.1
3;4;1500;396.47;0.144;1.26542750497727;5.3
3;4;10000;388.5;0.097;1.17839060410839;4.8
4;1;0;NA;0.593;NA;NA
4;1;1;98.38;0.39;1.15699508829102;4.5
4;1;2;126.76;0.343;1.11224724964353;4.9
4;1;6;109.58;0.233;1.16932147530798;4.7
4;1;10;108.11;0.188;1.09188522390046;5
4;1;33;149.04;0.17;1.09985711072931;4.6
4;1;100;172.94;0.157;1.18659073595846;4.8
4;1;1500;343.43;0.117;1.09207693799034;4.5
4;1;10000;365.12;0.09;1.07017439031715;4.8
4;2;0;NA;0.587;NA;NA
4;2;1;102.46;0.374;1.05856280738551;4.9
4;2;2;98.08;0.336;1.0113813257883;4.7
4;2;6;101.57;0.23;1.15721707995231;4.6
4;2;10;129.97;0.231;1.2574845322722;5
4;2;33;136.07;0.173;1.15026978992428;5
4;2;100;168.37;0.154;1.18903177376618;4.4
4;2;1500;352.73;0.105;1.08258390158525;4.6
4;2;10000;372.62;0.101;1.21794260092469;5
4;3;0;NA;0.582;NA;NA
4;3;1;104.78;0.397;1.1144099212883;4.7
4;3;2;81.69;0.325;1.10678944615066;4.7
4;3;6;120.86;0.224;1.12915953357129;4.9
4;3;10;126.62;0.221;1.22473565404111;5.2
4;3;33;142.89;0.153;1.09080081762424;4.8
4;3;100;161.6;0.15;1.15904554387681;5
4;3;1500;327.43;0.124;1.19147003146736;4.9
4;3;10000;387.36;0.101;1.22275800297709;4.4
4;4;0;NA;0.597;NA;NA
4;4;1;91.28;0.413;1.03247404564475;4.4
4;4;2;90.49;0.341;1.10678243998381;4.8
4;4;6;99.13;0.222;1.12701552124911;4.8
4;4;10;96.44;0.212;1.17639925850665;4.7
4;4;33;125.13;0.173;1.12762087307637;4.7
4;4;100;154.88;0.139;1.07852732898657;4.6
4;4;1500;361.98;0.124;1.14470414683262;4.5
4;4;10000;379.46;0.096;1.09401461063855;4.9
5;1;0;NA;0.617;NA;NA
5;1;1;51.5;0.419;0.984632466466191;7.7
5;1;2;64.35;0.354;0.963780218623945;7.7
5;1;6;77.9;0.239;0.997018736122689;7.9
5;1;10;109.79;0.231;1.07581685612916;7.8
5;1;33;112.87;0.222;1.11300607786863;7.8
5;1;100;105.66;0.168;1.05539486320733;7.7
5;1;1500;278.96;0.141;0.969862092811561;8.3
5;1;10000;313.04;0.116;1.01810616793369;8.5
5;2;0;NA;0.608;NA;NA
5;2;1;52.82;0.446;1.04819069813068;8
5;2;2;58.95;0.369;1.06171250837891;7.7
5;2;6;82.26;0.276;1.10390556443123;8
5;2;10;91.44;0.232;1.06524766193425;7.4
5;2;33;108.04;0.196;1.01456933903535;7.9
5;2;100;102.13;0.165;0.998804994324808;8.5
5;2;1500;248.59;0.147;0.988268333888179;8.5
5;2;10000;317.06;0.124;1.08267894375728;7.4
5;3;0;NA;0.596;NA;NA
5;3;1;62.24;0.425;1.11705721996799;8.1
5;3;2;63.63;0.377;1.08814904516994;7.5
5;3;6;90.73;0.26;1.12747810298585;7.6
5;3;10;89.81;0.221;1.076928055161;7.7
5;3;33;114.57;0.24;1.09188617754392;7.4
5;3;100;122.64;0.159;1.0096284985339;6.7
5;3;1500;262.96;0.146;0.991444604121351;7.6
5;3;10000;305.3;0.129;1.13288613269199;7.6
5;4;0;NA;0.613;NA;NA
5;4;1;58.49;0.435;1.10003921200422;7.8
5;4;2;63.92;0.375;1.00776368163197;8.3
5;4;6;91.72;0.256;1.08124401207078;7.5
5;4;10;94.18;0.227;1.07971331941595;7
5;4;33;113.09;0.196;1.02871999342381;8.3
5;4;100;160.22;0.158;0.905192762851782;8
5;4;1500;235.67;0.159;1.07034821790843;7.7
5;4;10000;326.01;0.115;0.997556259289761;7.9
6;1;0;NA;0.594;NA;NA
6;1;1;94.17;0.482;1.12710323789991;6.4
6;1;2;86.58;0.42;1.06664453368225;6.3
6;1;6;74.59;0.279;1.2088108997233;6.4
6;1;10;85.6;0.244;1.13703555038743;6.4
6;1;33;127.4;0.243;1.27060972560958;6
6;1;100;146.38;0.215;1.08173734799655;6.4
6;1;1500;253.51;0.182;1.12913684456297;6.8
6;1;10000;307.31;0.137;1.10258605077515;6.4
6;2;0;NA;0.595;NA;NA
6;2;1;86.37;0.439;1.07846045251064;6.3
6;2;2;85.7;0.415;1.07954152498434;6.7
6;2;6;98.01;0.273;1.35137275749343;7.2
6;2;10;96.87;0.226;1.06812780308805;6.9
6;2;33;108.48;0.241;1.18159024811415;6.4
6;2;100;138.24;0.213;1.09824515868198;5.9
6;2;1500;242.96;0.166;1.15151969906276;6.6
6;2;10000;300.04;0.125;1.087078217841;6.1
6;3;0;NA;0.602;NA;NA
6;3;1;68.03;0.445;1.04135154178986;6
6;3;2;91.64;0.385;1.07821654600171;6.1
6;3;6;104.88;0.246;0.987655305133877;6.6
6;3;10;126.3;0.258;1.16993185792598;6.2
6;3;33;114.74;0.242;1.28970050780143;7.3
6;3;100;131.86;0.225;1.17767954083416;6.8
6;3;1500;250.66;0.166;1.13342457760791;7
6;3;10000;298.69;0.133;1.07690364037722;6.8
6;4;0;NA;0.581;NA;NA
6;4;1;76.21;0.444;1.0966263232476;6.7
6;4;2;92.28;0.392;1.16328727389456;7
6;4;6;111.6;0.291;1.1962029869375;6.6
6;4;10;116.56;0.264;1.19160129740245;7.2
6;4;33;118.66;0.218;1.12022226514399;6.8
6;4;100;137.84;0.244;1.31112629562422;6.9
6;4;1500;236.22;0.176;1.14648181101181;7.2
6;4;10000;316.75;0.143;1.18622852619485;6.9
7;1;0;NA;0.654;NA;NA
7;1;1;88.24;0.506;0.98011168523582;9
7;1;2;107.79;0.424;1.10270722862665;9.8
7;1;6;114.81;0.33;1.13452161641506;10.1
7;1;10;98.24;0.261;1.02640555939744;9.6
7;1;33;95.16;0.22;0.97158806873799;9.8
7;1;100;150.63;0.204;0.952849562946947;9.4
7;1;1500;256.76;0.184;0.977469343378811;9.5
7;1;10000;293.54;0.137;1.02282782706706;9.5
7;2;0;NA;0.651;NA;NA
7;2;1;87.98;0.51;0.993182680616082;9.7
7;2;2;98.53;0.447;1.09075936002324;9.5
7;2;6;98.89;0.304;1.04500492466924;10.3
7;2;10;83.1;0.26;0.988915186662381;9.9
7;2;33;92.65;0.248;1.07334712493629;9.4
7;2;100;146.24;0.202;0.955869957861266;9.7
7;2;1500;264.79;0.195;1.06840128898734;10.2
7;2;10000;284.99;0.138;1.02653492580575;9.7
7;3;0;NA;0.656;NA;NA
7;3;1;99.78;0.518;0.991022929152597;9.5
7;3;2;108;0.461;1.05799772209673;9.7
7;3;6;69.51;0.281;1.00260325051677;9.9
7;3;10;95.76;0.245;0.991349311769844;9.8
7;3;33;103.19;0.243;1.03941061463502;10.2
7;3;100;144.51;0.205;0.964391551668794;9.8
7;3;1500;240.11;0.194;1.04500492466924;9.9
7;3;10000;302.64;0.138;1.01541758561722;9.9
7;4;0;NA;0.657;NA;NA
7;4;1;84.26;0.514;0.925091552587908;9.2
7;4;2;95.36;0.403;0.996799242361168;9.3
7;4;6;83.27;0.307;1.06096716977126;9.9
7;4;10;98.42;0.26;1.03195168685217;9.8
7;4;33;129.64;0.23;1.04005916860199;8.9
7;4;100;143.66;0.204;0.965754736848485;9.9
7;4;1500;248.21;0.202;1.07292936257395;9.2
7;4;10000;292.21;0.135;1.00739336180776;9.3
8;1;0;NA;0.656;NA;NA
8;1;1;78.39;0.536;0.960883042961692;13.4
8;1;2;91.42;0.382;0.970631296793664;13.5
8;1;6;86.89;0.314;1.00652636631379;13.7
8;1;10;97.21;0.27;1.05064399576562;12.8
8;1;33;129.58;0.243;1.00400581378447;13.8
8;1;100;156.75;0.226;1.04660300173981;13
8;1;1500;252.7;0.175;0.983081249534979;12.9
8;1;10000;306.16;0.153;1.00979918400036;12.9
8;2;0;NA;0.652;NA;NA
8;2;1;71.43;0.532;1.03384861116016;12.9
8;2;2;90.33;0.413;0.968116166451864;13.1
8;2;6;86.93;0.334;1.02394228837985;13.5
8;2;10;90.47;0.299;1.11227316622687;13.1
8;2;33;133.2;0.263;1.05985533690496;12.7
8;2;100;161.2;0.225;0.980977214347047;13.1
8;2;1500;237.17;0.186;0.94567600070889;13
8;2;10000;332.74;0.15;1.01413184071243;13
8;3;0;NA;0.658;NA;NA
8;3;1;83.46;0.529;0.984310092764987;13.3
8;3;2;83.4;0.449;1.04059870604575;13.3
8;3;6;75.01;0.305;0.920458412980309;13.3
8;3;10;100.73;0.306;1.02697902482662;13.4
8;3;33;133.87;0.243;1.03112437239557;13.2
8;3;100;159.64;0.223;0.984063212882176;13.6
8;3;1500;229.35;0.187;1.02697902482662;13.4
8;3;10000;317.12;0.149;0.984295714143255;13.4
8;4;0;NA;0.655;NA;NA
8;4;1;74.83;0.482;0.881043582273867;13.1
8;4;2;87.4;0.435;1.00503925520868;12.9
8;4;6;80.84;0.339;1.02810120781002;12.9
8;4;10;92.69;0.322;1.11268763182638;13.2
8;4;33;128.47;0.252;1.07773540003568;12.9
8;4;100;132.76;0.22;0.959226504728512;13.2
8;4;1500;235.35;0.178;0.945673391105163;12.8
8;4;10000;282.73;0.155;1.03985372671188;12.7
9;1;0;NA;0.661;NA;NA
9;1;1;72.86;0.537;0.955903862375076;12.4
9;1;2;70.79;0.438;0.967058447418752;12.1
9;1;6;89.04;0.34;1.05027221798934;12.3
9;1;10;95.23;0.283;0.973379008416386;12.1
9;1;33;105.12;0.262;1.05067400907568;11.9
9;1;100;127.78;0.216;0.982537188511685;12.7
9;1;1500;232.65;0.187;1.00875703297147;12.2
9;1;10000;246.7;0.141;0.934773255491867;12.3
9;2;0;NA;0.662;NA;NA
9;2;1;75.5;0.5;0.972405761034022;12.2
9;2;2;78.64;0.441;0.954105699858397;12.3
9;2;6;86.53;0.318;1.04189893829166;11.8
9;2;10;85.51;0.284;0.97106493826172;12.1
9;2;33;97.83;0.249;0.999424139498577;12.2
9;2;100;108.77;0.227;0.972074959045235;12.4
9;2;1500;247.28;0.189;0.960549620114544;12.5
9;2;10000;236.1;0.153;1.0173093592139;12.6
9;3;0;NA;0.67;NA;NA
9;3;1;79.54;0.477;0.899490682352419;12.5
9;3;2;77.25;0.427;0.975544884957176;12
9;3;6;91.24;0.338;1.02172868693778;12.2
9;3;10;91.86;0.285;0.960178070204293;11.9
9;3;33;98.51;0.257;0.992580568839135;11.9
9;3;100;84.94;0.226;1.00609384431932;12.3
9;3;1500;250.55;0.181;0.930882331182879;13.1
9;3;10000;251.37;0.141;0.923580054320802;12.4
9;4;0;NA;0.666;NA;NA
9;4;1;86.01;0.485;0.967830128730034;12.5
9;4;2;87.22;0.42;0.985231779571167;12.6
9;4;6;83.94;0.314;0.974677403479191;12.4
9;4;10;88.95;0.271;0.937184002009929;12.7
9;4;33;103.82;0.261;1.05342013304224;13.1
9;4;100;115.1;0.226;0.978890884943691;12.1
9;4;1500;233.61;0.178;0.943031807409589;12.8
9;4;10000;248.54;0.145;0.970356168266202;12.6
10;1;0;NA;0.681;NA;NA
10;1;1;71.8;0.551;0.81081309372024;10.3
10;1;2;64;0.424;0.859859443818362;10.2
10;1;6;83.93;0.326;0.910625305607563;10.6
10;1;10;73.49;0.318;0.902885106593888;10.3
10;1;33;98.09;0.255;0.84353778990975;10.4
10;1;100;123.34;0.264;0.855183352733772;10.5
10;1;1500;210.42;0.219;0.804572750158553;10.2
10;1;10000;221.64;0.163;0.873522989306282;10.3
10;2;0;NA;0.686;NA;NA
10;2;1;87.33;0.491;0.786681774607235;9.9
10;2;2;77.88;0.371;0.825337579690589;11.2
10;2;6;82.51;0.349;0.905933218259397;11.2
10;2;10;70.12;0.307;0.905509646423998;9.9
10;2;33;80.36;0.241;0.806014218973764;11.1
10;2;100;116.16;0.247;0.837953499872623;10.4
10;2;1500;231.11;0.215;0.839385349912767;10.6
10;2;10000;234.43;0.161;0.854469255815514;9.9
10;3;0;NA;0.674;NA;NA
10;3;1;41.92;0.511;0.806309697258703;11
10;3;2;61.54;0.395;0.821986569817162;9.7
10;3;6;84.55;0.364;0.932984057867115;10.8
10;3;10;77.08;0.321;0.897265185826625;10.7
10;3;33;91.53;0.278;0.927871627310858;9.6
10;3;100;108.23;0.251;0.830179774431926;10.8
10;3;1500;218.67;0.221;0.83316952238083;10.8
10;3;10000;238.15;0.183;0.95778343439497;11.3
10;4;0;NA;0.683;NA;NA
10;4;1;56.89;0.515;0.774165256139162;10.4
10;4;2;68.74;0.421;0.842543467252833;10.4
10;4;6;84.51;0.337;0.945059107302264;9.9
10;4;10;68.01;0.293;0.850331585797317;10.3
10;4;33;67.83;0.273;0.854292786106335;10.2
10;4;100;91.81;0.265;0.860138226786794;9.9
10;4;1500;211.87;0.228;0.841050478238209;11.3
10;4;10000;234.11;0.162;0.851990737306985;10.5
