unid;metodo;arg;sil;are;argsil
1;Boy;163;20;817;183
1;Pip;152;25;823;177
1;Ultsom;167;10;823;177
2;Boy;178;35;787;213
2;Pip;202.583025830259;41.7822878228778;755.634686346864;244.365313653136
2;Ultsom;262;0;738;262
3;Boy;236;92;672;328
3;Pip;264.237037037035;43.6651851851872;692.097777777778;307.902222222222
3;Ultsom;312;20;668;332
4;Boy;326;46;628;372
4;Pip;311.396539063102;70.5053281910215;618.098132745877;381.901867254123
4;Ultsom;375;7;618;382
5;Boy;361;210;429;571
5;Pip;364.649631879474;203.195256276328;432.155111844198;567.844888155802
5;Ultsom;517;55;428;572
6;Boy;401;109;490;510
6;Pip;398.565609022861;114.379251045117;487.055139932022;512.944860067978
6;Ultsom;519;6;475;525
7;Boy;453;182;365;635
7;Pip;419.81301677155;195.468353382951;384.718629845499;615.281370154501
7;Ultsom;544;95;361;639
8;Boy;496;162;342;658
8;Pip;490.204764769078;166.412337309202;343.38289792172;656.61710207828
8;Ultsom;563;91;346;654
9;Boy;549;184;267;733
9;Pip;520.527559298904;201.278531848491;278.193908852606;721.806091147395
9;Ultsom;662;89;249;751
10;Boy;765;120;115;885
10;Pip;715.616426593239;158.216489791012;126.167083615749;873.832916384251
10;Ultsom;822;61;117;883
