manejo	cam	tens	rept	umid	dens	respen
1	0-0.05	0	1	0.36	1.68	1.72
1	0-0.05	0	2	0.37	1.68	1.74
1	0-0.05	0	3	0.36	1.62	1.81
1	0-0.05	0	4	0.33	1.58	1.02
1	0-0.05	0	5	0.42	1.50	0.77
1	0-0.05	0	6	0.36	1.63	2.06
1	0-0.05	6	1	0.26		
1	0-0.05	6	2	0.23		
1	0-0.05	6	3	0.19		
1	0-0.05	6	4	0.19		
1	0-0.05	6	5	0.24		
1	0-0.05	6	6	0.21		
1	0.05-0.10	0	1	0.33	1.65	1.12
1	0.05-0.10	0	2	0.34	1.67	1.28
1	0.05-0.10	0	3	0.35	1.48	0.86
1	0.05-0.10	0	4	0.32	1.64	1.50
1	0.05-0.10	0	5	0.38	1.52	0.69
1	0.05-0.10	0	6	0.42	1.47	0.63
1	0.05-0.10	6	1	0.20		
1	0.05-0.10	6	2	0.18		
1	0.05-0.10	6	3	0.16		
1	0.05-0.10	6	4	0.25		
1	0.05-0.10	6	5	0.26		
1	0.05-0.10	6	6	0.20		
1	0.10-0.15	0	1	0.34	1.60	0.77
1	0.10-0.15	0	2	0.31	1.72	1.42
1	0.10-0.15	0	3	0.36	1.68	1.69
1	0.10-0.15	0	4	0.40	1.49	0.43
1	0.10-0.15	0	5	0.37	1.59	0.61
1	0.10-0.15	0	6	0.40	1.64	1.28
1	0.10-0.15	6	1	0.21		
1	0.10-0.15	6	2	0.17		
1	0.10-0.15	6	3	0.21		
1	0.10-0.15	6	4	0.26		
1	0.10-0.15	6	5	0.24		
1	0.10-0.15	6	6	0.22		
1	0.15-0.20	0	1	0.33	1.65	0.87
1	0.15-0.20	0	2	0.32	1.68	1.33
1	0.15-0.20	0	3	0.37	1.58	1.50
1	0.15-0.20	0	4	0.40	1.55	0.45
1	0.15-0.20	0	5	0.39	1.54	0.48
1	0.15-0.20	0	6	0.38	1.58	0.80
1	0.15-0.20	6	1	0.21		
1	0.15-0.20	6	2	0.20		
1	0.15-0.20	6	3	0.17		
1	0.15-0.20	6	4	0.28		
1	0.15-0.20	6	5	0.19		
1	0.15-0.20	6	6	0.20		
1	0.20-0.25	0	1	0.33	1.60	0.83
1	0.20-0.25	0	2	0.33	1.60	1.01
1	0.20-0.25	0	3	0.37	1.59	1.99
1	0.20-0.25	0	4	0.38	1.56	0.63
1	0.20-0.25	0	5	0.36	1.42	0.15
1	0.20-0.25	0	6	0.37	1.63	0.83
1	0.20-0.25	6	1	0.18		
1	0.20-0.25	6	2	0.21		
1	0.20-0.25	6	3	0.17		
1	0.20-0.25	6	4	0.19		
1	0.20-0.25	6	5	0.19		
1	0.20-0.25	6	6	0.19		
1	0.25-0.30	0	1	0.35	1.59	0.75
1	0.25-0.30	0	2	0.37	1.59	1.28
1	0.25-0.30	0	3	0.37	1.58	0.80
1	0.25-0.30	0	4	0.38	1.53	0.45
1	0.25-0.30	0	5	0.38	1.52	0.55
1	0.25-0.30	0	6	0.35	1.64	1.17
1	0.25-0.30	6	1	0.22		
1	0.25-0.30	6	2	0.21		
1	0.25-0.30	6	3	0.20		
1	0.25-0.30	6	4	0.22		
1	0.25-0.30	6	5	0.19		
1	0.25-0.30	6	6	0.19		
1	0.30-0.35	0	1	0.35	1.53	0.71
1	0.30-0.35	0	2	0.41	1.52	0.70
1	0.30-0.35	0	3	0.39	1.51	0.60
1	0.30-0.35	0	4	0.35	1.45	0.36
1	0.30-0.35	0	5	0.36	1.51	0.86
1	0.30-0.35	0	6	0.36	1.44	0.81
1	0.30-0.35	6	1	0.22		
1	0.30-0.35	6	2	0.23		
1	0.30-0.35	6	3	0.18		
1	0.30-0.35	6	4	0.14		
1	0.30-0.35	6	5	0.20		
1	0.30-0.35	6	6	0.17		
1	0.35-0.40	0	1	0.32	1.55	0.53
1	0.35-0.40	0	2	0.30	1.44	0.28
1	0.35-0.40	0	3	0.39	1.50	0.33
1	0.35-0.40	0	4	0.32	1.64	0.68
1	0.35-0.40	0	5	0.37	1.51	0.55
1	0.35-0.40	0	6	0.43	1.52	0.63
1	0.35-0.40	6	1	0.19		
1	0.35-0.40	6	2	0.10		
1	0.35-0.40	6	3	0.20		
1	0.35-0.40	6	4	0.24		
1	0.35-0.40	6	5	0.22		
1	0.35-0.40	6	6	0.21		
1	0.40-0.45	0	1	0.35	1.60	1.15
1	0.40-0.45	0	2	0.38	1.60	1.33
1	0.40-0.45	0	3	0.41	1.44	0.51
1	0.40-0.45	0	4	0.34	1.43	0.37
1	0.40-0.45	0	5	0.35	1.57	0.67
1	0.40-0.45	0	6	0.35	1.62	1.34
1	0.40-0.45	6	1	0.24		
1	0.40-0.45	6	2	0.23		
1	0.40-0.45	6	3	0.20		
1	0.40-0.45	6	4	0.20		
1	0.40-0.45	6	5	0.21		
1	0.40-0.45	6	6	0.21		
2	0-0.05	0	1	0.32	1.55	0.78
2	0-0.05	0	2	0.32	1.70	2.05
2	0-0.05	0	3	0.35	1.68	2.87
2	0-0.05	0	4	0.32	1.57	1.67
2	0-0.05	0	5	0.32	1.58	0.77
2	0-0.05	0	6	0.37	1.51	1.19
2	0-0.05	6	1	0.17		
2	0-0.05	6	2	0.19		
2	0-0.05	6	3	0.21		
2	0-0.05	6	4	0.21		
2	0-0.05	6	5	0.10		
2	0-0.05	6	6	0.19		
2	0.05-0.10	0	1	0.34	1.56	0.93
2	0.05-0.10	0	2	0.45	1.51	1.13
2	0.05-0.10	0	3	0.34	1.63	1.54
2	0.05-0.10	0	4	0.36	1.55	0.79
2	0.05-0.10	0	5	0.36	1.60	1.94
2	0.05-0.10	0	6	0.33	1.61	1.49
2	0.05-0.10	6	1	0.19		
2	0.05-0.10	6	2	0.28		
2	0.05-0.10	6	3	0.16		
2	0.05-0.10	6	4	0.24		
2	0.05-0.10	6	5	0.19		
2	0.05-0.10	6	6	0.21		
2	0.10-0.15	0	1	0.34	1.56	0.92
2	0.10-0.15	0	2	0.37	1.49	0.37
2	0.10-0.15	0	3	0.35	1.58	0.91
2	0.10-0.15	0	4	0.38	1.52	0.58
2	0.10-0.15	0	5	0.42	1.54	0.92
2	0.10-0.15	0	6	0.34	1.65	1.02
2	0.10-0.15	6	1	0.15		
2	0.10-0.15	6	2	0.08		
2	0.10-0.15	6	3	0.16		
2	0.10-0.15	6	4	0.19		
2	0.10-0.15	6	5	0.17		
2	0.10-0.15	6	6	0.20		
2	0.15-0.20	0	1	0.40	1.54	1.03
2	0.15-0.20	0	2	0.39	1.63	0.61
2	0.15-0.20	0	3	0.34	1.59	0.94
2	0.15-0.20	0	4	0.34	1.66	1.11
2	0.15-0.20	0	5	0.38	1.63	1.42
2	0.15-0.20	0	6	0.34	1.60	0.73
2	0.15-0.20	6	1	0.25		
2	0.15-0.20	6	2	0.18		
2	0.15-0.20	6	3	0.16		
2	0.15-0.20	6	4	0.23		
2	0.15-0.20	6	5	0.17		
2	0.15-0.20	6	6	0.23		
2	0.20-0.25	0	1	0.35	1.64	0.85
2	0.20-0.25	0	2	0.36	1.60	0.90
2	0.20-0.25	0	3	0.35	1.60	1.10
2	0.20-0.25	0	4	0.35	1.52	0.44
2	0.20-0.25	0	5	0.40	1.59	0.82
2	0.20-0.25	0	6	0.35	1.65	1.15
2	0.20-0.25	6	1	0.21		
2	0.20-0.25	6	2	0.19		
2	0.20-0.25	6	3	0.14		
2	0.20-0.25	6	4	0.25		
2	0.20-0.25	6	5	0.17		
2	0.20-0.25	6	6	0.22		
2	0.25-0.30	0	1	0.33	1.45	0.42
2	0.25-0.30	0	2	0.34	1.49	0.64
2	0.25-0.30	0	3	0.34	1.58	0.95
2	0.25-0.30	0	4	0.37	1.50	0.22
2	0.25-0.30	0	5	0.40	1.59	0.74
2	0.25-0.30	0	6	0.39	1.50	0.67
2	0.25-0.30	6	1	0.19		
2	0.25-0.30	6	2	0.19		
2	0.25-0.30	6	3	0.17		
2	0.25-0.30	6	4	0.25		
2	0.25-0.30	6	5	0.17		
2	0.25-0.30	6	6	0.21		
2	0.30-0.35	0	1	0.35	1.48	0.47
2	0.30-0.35	0	2	0.33	1.63	0.97
2	0.30-0.35	0	3	0.32	1.65	1.56
2	0.30-0.35	0	4	0.37	1.50	0.45
2	0.30-0.35	0	5	0.37	1.58	1.51
2	0.30-0.35	0	6	0.37	1.63	1.06
2	0.30-0.35	6	1	0.18		
2	0.30-0.35	6	2	0.21		
2	0.30-0.35	6	3	0.21		
2	0.30-0.35	6	4	0.24		
2	0.30-0.35	6	5	0.17		
2	0.30-0.35	6	6	0.22		
2	0.35-0.40	0	1	0.36	1.54	0.68
2	0.35-0.40	0	2	0.33	1.56	0.88
2	0.35-0.40	0	3	0.35	1.55	1.12
2	0.35-0.40	0	4	0.40	1.46	0.59
2	0.35-0.40	0	5	0.36	1.52	0.99
2	0.35-0.40	0	6	0.37	1.63	1.29
2	0.35-0.40	6	1	0.19		
2	0.35-0.40	6	2	0.19		
2	0.35-0.40	6	3	0.15		
2	0.35-0.40	6	4	0.24		
2	0.35-0.40	6	5	0.17		
