manejo;cam;bloc;umid0;umid6;rp;dens
BS;5;I;0.36;0.26;1.72;1.68
BS;5;II;0.37;0.23;1.74;1.68
BS;5;III;0.36;0.19;1.81;1.62
BS;5;IV;0.33;0.19;1.02;1.58
BS;5;V;0.42;0.24;0.77;1.5
BS;5;VI;0.36;0.21;2.06;1.63
BS;10;I;0.33;0.2;1.12;1.65
BS;10;II;0.34;0.18;1.28;1.67
BS;10;III;0.35;0.16;0.86;1.48
BS;10;IV;0.32;0.25;1.5;1.64
BS;10;V;0.38;0.26;0.69;1.52
BS;10;VI;0.42;0.2;0.63;1.47
BS;15;I;0.34;0.21;0.77;1.6
BS;15;II;0.31;0.17;1.42;1.72
BS;15;III;0.36;0.21;1.69;1.68
BS;15;IV;0.4;0.26;0.43;1.49
BS;15;V;0.37;0.24;0.61;1.59
BS;15;VI;0.4;0.22;1.28;1.64
BS;20;I;0.33;0.21;0.87;1.65
BS;20;II;0.32;0.2;1.33;1.68
BS;20;III;0.37;0.17;1.5;1.58
BS;20;IV;0.4;0.28;0.45;1.55
BS;20;V;0.39;0.19;0.48;1.54
BS;20;VI;0.38;0.2;0.8;1.58
BS;25;I;0.33;0.18;0.83;1.6
BS;25;II;0.33;0.21;1.01;1.6
BS;25;III;0.37;0.17;1.99;1.59
BS;25;IV;0.38;0.19;0.63;1.56
BS;25;V;0.36;0.19;0.15;1.42
BS;25;VI;0.37;0.19;0.83;1.63
BS;30;I;0.35;0.22;0.75;1.59
BS;30;II;0.37;0.21;1.28;1.59
BS;30;III;0.37;0.2;0.8;1.58
BS;30;IV;0.38;0.22;0.45;1.53
BS;30;V;0.38;0.19;0.55;1.52
BS;30;VI;0.35;0.19;1.17;1.64
BS;35;I;0.35;0.22;0.71;1.53
BS;35;II;0.41;0.23;0.7;1.52
BS;35;III;0.39;0.18;0.6;1.51
BS;35;IV;0.35;0.14;0.36;1.45
BS;35;V;0.36;0.2;0.86;1.51
BS;35;VI;0.36;0.17;0.81;1.44
BS;40;I;0.32;0.19;0.53;1.55
BS;40;II;0.3;0.1;0.28;1.44
BS;40;III;0.39;0.2;0.33;1.5
BS;40;IV;0.32;0.24;0.68;1.64
BS;40;V;0.37;0.22;0.55;1.51
BS;40;VI;0.43;0.21;0.63;1.52
BS;45;I;0.35;0.24;1.15;1.6
BS;45;II;0.38;0.23;1.33;1.6
BS;45;III;0.41;0.2;0.51;1.44
BS;45;IV;0.34;0.2;0.37;1.43
BS;45;V;0.35;0.21;0.67;1.57
BS;45;VI;0.35;0.21;1.34;1.62
BL;5;I;0.32;0.17;0.78;1.55
BL;5;II;0.32;0.19;2.05;1.7
BL;5;III;0.35;0.21;2.87;1.68
BL;5;IV;0.32;0.21;1.67;1.57
BL;5;V;0.32;0.1;0.77;1.58
BL;5;VI;0.37;0.19;1.19;1.51
BL;10;I;0.34;0.19;0.93;1.56
BL;10;II;0.45;0.28;1.13;1.51
BL;10;III;0.34;0.16;1.54;1.63
BL;10;IV;0.36;0.24;0.79;1.55
BL;10;V;0.36;0.19;1.94;1.6
BL;10;VI;0.33;0.21;1.49;1.61
BL;15;I;0.34;0.15;0.92;1.56
BL;15;II;0.37;0.08;0.37;1.49
BL;15;III;0.35;0.16;0.91;1.58
BL;15;IV;0.38;0.19;0.58;1.52
BL;15;V;0.42;0.17;0.92;1.54
BL;15;VI;0.34;0.2;1.02;1.65
BL;20;I;0.4;0.25;1.03;1.54
BL;20;II;0.39;0.18;0.61;1.63
BL;20;III;0.34;0.16;0.94;1.59
BL;20;IV;0.34;0.23;1.11;1.66
BL;20;V;0.38;0.17;1.42;1.63
BL;20;VI;0.34;0.23;0.73;1.6
BL;25;I;0.35;0.21;0.85;1.64
BL;25;II;0.36;0.19;0.9;1.6
BL;25;III;0.35;0.14;1.1;1.6
BL;25;IV;0.35;0.25;0.44;1.52
BL;25;V;0.4;0.17;0.82;1.59
BL;25;VI;0.35;0.22;1.15;1.65
BL;30;I;0.33;0.19;0.42;1.45
BL;30;II;0.34;0.19;0.64;1.49
BL;30;III;0.34;0.17;0.95;1.58
BL;30;IV;0.37;0.25;0.22;1.5
BL;30;V;0.4;0.17;0.74;1.59
BL;30;VI;0.39;0.21;0.67;1.5
BL;35;I;0.35;0.18;0.47;1.48
BL;35;II;0.33;0.21;0.97;1.63
BL;35;III;0.32;0.21;1.56;1.65
BL;35;IV;0.37;0.24;0.45;1.5
BL;35;V;0.37;0.17;1.51;1.58
BL;35;VI;0.37;0.22;1.06;1.63
BL;40;I;0.36;0.19;0.68;1.54
BL;40;II;0.33;0.19;0.88;1.56
BL;40;III;0.35;0.15;1.12;1.55
BL;40;IV;0.4;0.24;0.59;1.46
BL;40;V;0.36;0.17;0.99;1.52
BL;40;VI;0.37;0.23;1.29;1.63
BL;45;I;0.36;0.18;0.94;1.54
BL;45;II;0.34;0.22;0.69;1.53
BL;45;III;0.32;0.15;0.98;1.56
BL;45;IV;0.37;0.21;0.48;1.49
BL;45;V;0.35;0.19;1.13;1.57
BL;45;VI;0.42;0.22;1.14;1.5
BSL;5;I;0.33;0.1;0.38;1.54
BSL;5;II;0.32;0.05;0.39;1.44
BSL;5;III;0.37;0.21;1.37;1.63
BSL;5;IV;0.41;0.16;1.14;1.31
BSL;5;V;0.4;0.26;0.57;1.46
BSL;5;VI;0.4;0.23;0.8;1.46
BSL;10;I;0.33;0.1;1.3;1.54
BSL;10;II;0.35;0.09;1.71;1.69
BSL;10;III;0.39;0.14;1.01;1.53
BSL;10;IV;0.34;0.22;1.03;1.65
BSL;10;V;0.34;0.24;0.66;1.57
BSL;10;VI;0.39;0.25;0.5;1.54
BSL;15;I;0.4;0.21;0.63;1.54
BSL;15;II;0.31;0.19;1.39;1.71
BSL;15;III;0.36;0.15;1.15;1.61
BSL;15;IV;0.32;0.17;0.39;1.64
BSL;15;V;0.33;0.18;0.74;1.58
BSL;15;VI;0.35;0.24;0.73;1.66
BSL;20;I;0.4;0.2;0.58;1.55
BSL;20;II;0.38;0.17;0.73;1.54
BSL;20;III;0.33;0.17;0.88;1.61
BSL;20;IV;0.35;0.28;0.73;1.59
BSL;20;V;0.33;0.24;0.93;1.66
BSL;20;VI;0.29;0.22;1.62;1.71
BSL;25;I;0.4;0.19;0.63;1.53
BSL;25;II;0.34;0.2;0.83;1.62
BSL;25;III;0.38;0.16;0.84;1.55
BSL;25;IV;0.35;0.17;0.26;1.57
BSL;25;V;0.33;0.21;2.18;1.64
BSL;25;VI;0.35;0.23;1;1.66
BSL;30;I;0.4;0.19;0.61;1.5
BSL;30;II;0.34;0.19;0.84;1.6
BSL;30;III;0.35;0.17;1.25;1.62
BSL;30;IV;0.34;0.2;0.81;1.55
BSL;30;V;0.33;0.22;3.13;1.67
BSL;30;VI;0.37;0.23;0.78;1.57
BSL;35;I;0.36;0.15;0.43;1.48
BSL;35;II;0.37;0.21;0.76;1.57
BSL;35;III;0.4;0.17;0.54;1.48
BSL;35;IV;0.37;0.15;1.87;1.59
BSL;35;V;0.34;0.23;2.87;1.67
BSL;35;VI;0.37;0.27;0.51;1.57
BSL;40;I;0.36;0.21;0.98;1.56
BSL;40;II;0.35;0.21;0.96;1.63
BSL;40;III;0.37;0.13;0.49;1.45
BSL;40;IV;0.38;0.15;1.05;1.44
BSL;40;V;0.35;0.2;1.43;1.58
BSL;40;VI;0.39;0.24;0.64;1.47
BSL;45;I;0.39;0.24;0.68;1.53
BSL;45;II;0.55;0.46;1.02;1.52
BSL;45;III;0.26;0.09;0.35;1.44
BSL;45;IV;0.43;0.2;0.56;1.46
BSL;45;V;0.34;0.23;1.23;1.63
BSL;45;VI;0.36;0.26;0.85;1.56
S;5;I;0.42;0.19;0.55;1.48
S;5;II;0.35;0.22;1.73;1.56
S;5;III;0.36;0.19;1.64;1.59
S;5;IV;0.31;0.24;2.02;1.71
S;5;V;0.4;0.26;0.6;1.53
S;5;VI;0.31;0.15;0.37;1.46
S;10;I;0.33;0.22;1.99;1.74
S;10;II;0.35;0.2;1.26;1.64
S;10;III;0.36;0.2;0.77;1.59
S;10;IV;0.32;0.24;0.87;1.58
S;10;V;0.36;0.18;0.71;1.57
S;10;VI;0.37;0.2;1.06;1.54
S;15;I;0.31;0.18;1.13;1.66
S;15;II;0.34;0.18;1.02;1.64
S;15;III;0.36;0.18;1;1.63
S;15;IV;0.35;0.2;0.33;1.51
S;15;V;0.38;0.21;0.6;1.6
S;15;VI;0.39;0.19;0.84;1.54
S;20;I;0.32;0.19;0.84;1.66
S;20;II;0.33;0.19;0.78;1.63
S;20;III;0.34;0.21;0.92;1.64
S;20;IV;0.35;0.25;0.67;1.68
S;20;V;0.4;0.25;0.46;1.53
S;20;VI;0.39;0.22;0.7;1.65
S;25;I;0.33;0.2;1.26;1.65
S;25;II;0.36;0.2;0.79;1.63
S;25;III;0.29;0.15;0.59;1.65
S;25;IV;0.33;0.2;1;1.68
S;25;V;0.37;0.25;0.35;1.56
S;25;VI;0.41;0.21;0.31;1.55
S;30;I;0.31;0.22;1.41;1.65
S;30;II;0.36;0.2;0.8;1.58
S;30;III;0.36;0.25;0.47;1.61
S;30;IV;0.39;0.22;0.5;1.51
S;30;V;0.36;0.17;0.83;1.55
S;30;VI;0.36;0.23;0.57;1.65
S;35;I;0.33;0.22;0.93;1.56
S;35;II;0.4;0.21;0.56;1.5
S;35;III;0.39;0.2;0.51;1.49
S;35;IV;0.39;0.2;0.57;1.49
S;35;V;0.37;0.18;1.61;1.52
S;35;VI;0.39;0.21;0.49;1.55
S;40;I;0.32;0.24;1.29;1.63
S;40;II;0.37;0.23;0.65;1.56
S;40;III;0.36;0.26;0.54;1.54
