loc;cam;Ur;Us;alp;n;I;Ui;S;cad
1;[5, 40);0.178454724933877;0.579984170734693;-0.832760156888102;3.11240320042663;0.957284159457394;0.395618440747456;-0.273268599679879;0.217163715813578
1;[40, 80);0.18791987361967;0.647268160346688;-0.722170677495662;3.25073299085884;0.835260423936331;0.435315977423107;-0.32901803136692;0.247396103803437
1;[0, 5);0.2228827535369;0.647721158518175;-0.724248346364594;3.58961245692506;0.815215272708152;0.449735791239575;-0.341265931671563;0.226853037702676
2;[0, 5);0.13107692440281;0.696799687783871;-0.548493813404399;4.00682124399258;0.620150307824832;0.430696435837306;-0.514676151379505;0.299619511434497
2;[5, 40);0.164936681344735;0.572831616805649;-0.54702863617545;2.91713728678489;0.69092644966664;0.387045703966653;-0.256947839241186;0.222109022621917
2;[40, 80);0.172038010219703;0.653273852903446;-0.471021807774816;2.12646654771989;0.769816030726728;0.446438124879443;-0.20206263479639;0.27440011465974
3;[0, 5);0.224774635960586;0.613621197975243;-0.707492321227008;2.53448272381794;0.905479950528911;0.440231425826195;-0.205933746887231;0.215456789865608
3;[5, 40);0.369910314156315;0.659178640946117;-0.551891291792572;1.95608923216637;0.917851703883089;0.537740637522043;-0.107780336420934;0.167830323365728
3;[40, 80);0.356668793876315;0.747439315102046;-1.01605944804404;3.43094676868054;1.11648521211501;0.566116375114608;-0.298007265085125;0.209447581238293
4;[5, 40);0.0372397910951631;0.520837529305203;-0.477583878886382;2.20786077160572;0.750777388309129;0.31108155306198;-0.213799055095585;0.273841761966817
4;[0, 5);0.233119734272711;0.647105938352251;-0.555067842759104;2.90647910596884;0.700152071182521;0.458636819459387;-0.259637018842992;0.225517085186677
4;[40, 80);0.258382426906705;0.524675694660345;0.302597458049355;1.67906638745989;0.236555911798321;0.419336572778462;-0.0778240835712983;0.160954145871758
5;[40, 80);0.174870884610103;0.63610249104076;-0.635037170436573;3.05559363248543;0.764769477146671;0.424788544295817;-0.30711993864935;0.249917659685714
5;[0, 5);0.171668909347201;0.843963908332662;-0.250267513299527;2.10284040247138;0.557185702104553;0.555839833571303;-0.277922172777647;0.384170924224101
5;[5, 40);0.190160890716794;0.608267371344293;-0.670594377313589;2.93429526152144;0.81261289207485;0.417683948993102;-0.265245941512512;0.227523058276307
6;[0, 5);0.201895160582595;0.63824513174764;-0.423930899352727;3.4827806776964;0.521109527091143;0.435474766576714;-0.338569699403555;0.233579605994119
6;[5, 40);0.282100715939571;0.626399506279325;-0.584220541848548;2.42199870943815;0.804092536987685;0.474130570336607;-0.172051623437385;0.192029854397036
6;[40, 80);0.213979704873272;0.652993376794592;-0.671058989932074;2.83018838887616;0.825085617051474;0.453851807649833;-0.266605959705485;0.239872102776561
7;[5, 40);0.230859484582219;0.612185699613988;-0.747965041397576;2.69379571213568;0.92020499572728;0.440455165383035;-0.217962527928346;0.209595680800816
7;[0, 5);0.182817435663257;0.638949189823768;-0.487999100312487;2.96025929908394;0.627243694772676;0.430795927574786;-0.292446490256961;0.247978491911529
7;[40, 80);0.230276920437713;0.640016751367079;-0.748091877634208;3.02562093957302;0.880705994647057;0.45251989752855;-0.269651335669384;0.222242977090837
8;[40, 80);0.235614706265039;0.626728696894655;-0.693185001937274;2.60350242164757;0.87934475710601;0.45153820208083;-0.21426660924427;0.215923495815792
8;[0, 5);0.238072604374048;0.614313326394315;-0.586246740789371;2.8766261601252;0.73473408065727;0.443264640749985;-0.233040189291017;0.205192036375937
8;[5, 40);0.248616439796592;0.56412101819092;-0.637107075253808;2.53252773316934;0.835446235002667;0.423453784979465;-0.166928418899888;0.174837345182873
9;[40, 80);0.255041793377083;0.695760450524114;-0.538793765668668;2.65422988394259;0.716931680295033;0.49773803641762;-0.247329208871084;0.242696243040537
9;[0, 5);0.227571943806439;0.699073530472965;-0.580571854407312;3.09600704333467;0.706566110370277;0.482714179015011;-0.318890198998049;0.255142235208573
9;[5, 40);0.264631612262667;0.631413839668161;-0.669477827660794;2.53063111042845;0.868158931158024;0.467905755365526;-0.193874408918854;0.203274143102859
10;[5, 40);0.220274612831083;0.622497582416367;-0.452770157292859;1.89110517506245;0.850661418808396;0.455493696786134;-0.142471252175922;0.235219083955051
