loc;cam;afina;amedi;agros;are
1;[0, 5);392.74;117.38;148;657.59
1;[5, 40);352.82;93.44;153.05;589.04
1;[40, 80);518.25;148.59;66.18;732.72
2;[0, 5);509.05;167.62;72.34;748.93
2;[5, 40);516.3;129.83;66.34;712.38
2;[40, 80);498.9;94.04;48.25;641.03
3;[0, 5);489.07;130.79;70.63;690.38
3;[5, 40);392.58;113.41;109.76;615.57
3;[40, 80);237.45;61;75.25;373.58
4;[0, 5);304.11;93.77;232.81;630.6
4;[5, 40);398.66;96.74;191.95;687.16
4;[40, 80);213.05;59.96;223.54;496.55
5;[0, 5);391.58;158.93;145.1;695.44
5;[5, 40);353.59;110.67;146.13;610.2
5;[40, 80);428.96;51.84;115.84;588.95
6;[0, 5);383.81;116.89;216.43;716.97
6;[5, 40);432.51;105.18;160.96;698.39
6;[40, 80);221.9;48.73;109.53;377.97
7;[0, 5);301.73;163.01;213.99;678.35
7;[5, 40);263.65;116.7;158.95;539.09
7;[40, 80);174.64;68.7;112.36;354.77
8;[0, 5);360.51;119.11;145.95;625.39
8;[5, 40);343.05;102;129.02;574
8;[40, 80);329.83;104.4;256.9;690.38
9;[0, 5);422.83;113.83;109.78;662.32
9;[5, 40);368.04;87.36;119.44;574.32
9;[40, 80);219.54;45.9;73.63;339.4
10;[0, 5);491.01;133.3;93.61;717.74
10;[5, 40);482.48;112.64;92.97;687.89
10;[40, 80);431.2;97.25;78.64;607.01
11;[0, 5);577.45;149.31;26.68;753.28
11;[5, 40);492.24;147.02;61;702.9
11;[40, 80);391.06;93.28;49.93;534.17
12;[0, 5);467.98;197.72;88.53;754.08
12;[5, 40);406.8;138.94;74.78;620.29
12;[40, 80);307.52;87.7;60.54;455.61
13;[0, 5);510.55;180.8;50.35;741.6
13;[5, 40);571.07;136.63;38.55;746.04
13;[40, 80);517.09;112.8;35.7;665.49
14;[0, 5);582.07;148.49;39.88;770.2
14;[5, 40);562.97;120.31;42.7;725.63
14;[40, 80);542.7;99.02;35.47;677.01
15;[0, 5);556.89;247.61;59.37;848.75
15;[5, 40);515.78;210.98;54.89;781.89
15;[40, 80);533.01;194.53;60.93;788.24
16;[0, 5);283.63;169.3;89.21;689.41
16;[5, 40);465.28;131.18;93.11;622.09
16;[40, 80);437.8;85.83;98.59;489.78
17;[0, 5);440.37;154.17;72.19;666.46
17;[5, 40);428.69;116.88;87.19;632.41
17;[40, 80);367.96;86.75;67.52;522.13
18;[0, 5);364.39;162.35;71.06;597.7
18;[5, 40);318.81;135.14;76.86;530.71
18;[40, 80);216.83;94.83;63.49;374.95
19;[0, 5);349.92;117.53;165.63;634.46
19;[5, 40);336.33;98.8;156.32;591.18
19;[40, 80);223.05;52.76;76.93;352.68
20;[0, 5);405.69;130.87;60.5;596.87
20;[5, 40);530.85;177;45.4;753.37
20;[40, 80);492.54;146.23;31.44;669.92
21;[0, 5);390.36;109.98;72.34;572.49
21;[5, 40);525.28;196.3;37.34;758.66
21;[40, 80);310.75;74.89;65.85;451.27
22;[0, 5);418.3;102.54;95.67;616.42
22;[5, 40);391.4;89.36;91.49;571.69
22;[40, 80);298.69;60.59;67.23;426.18
23;[0, 5);586.95;220.43;21.13;828.3
23;[5, 40);640.9;163.32;17.67;821.07
23;[40, 80);593.98;142.79;15.93;752.33
24;[0, 5);577.77;166.7;38.07;781.78
24;[5, 40);550.4;151.44;46.72;748.34
24;[40, 80);426.39;101.37;45.08;572.49
25;[0, 5);453.7;214.11;60.14;728.41
25;[5, 40);475.76;129.17;57.69;662.45
25;[40, 80);376.32;91.11;48.85;516.05
26;[0, 5);447.04;200.36;87.2;734.48
26;[5, 40);475.76;125.35;58.36;659.38
26;[40, 80);371.55;91.4;44.5;507.19
27;[0, 5);447.53;212.42;61.39;720.99
27;[5, 40);434.6;167.28;53.05;654.82
27;[40, 80);400.98;128.25;42.03;571.15
28;[0, 5);495.63;184.45;41.66;721.66
28;[5, 40);361.56;111.59;151.48;624.34
28;[40, 80);405.07;115.12;50.96;570.84
29;[0, 5);557.01;198.86;41.83;797.51
29;[5, 40);494.07;121.13;40.82;655.95
29;[40, 80);513.15;132.16;32.38;677.57
30;[0, 5);417.91;204.19;80.36;702.24
30;[5, 40);465.84;112.09;61.58;639.49
30;[40, 80);444.86;94.41;65.06;604.24
31;[0, 5);350.52;68.49;57.15;475.87
31;[5, 40);365.71;53.88;51.5;470.81
