loc;mes;ndvi
1;201504;0.63
1;201505;0.65
1;201507;0.48
1;201509;0.27
1;201510;0.58
1;201602;0.74
2;201504;0.62
2;201505;0.63
2;201507;0.46
2;201509;0.33
2;201510;0.61
2;201602;0.73
3;201504;0.61
3;201505;0.62
3;201507;0.49
3;201509;0.32
3;201510;0.61
3;201602;0.74
4;201504;0.62
4;201505;0.66
4;201507;0.59
4;201509;0.33
4;201510;0.66
4;201602;0.73
5;201504;0.66
5;201505;0.7
5;201507;0.63
5;201509;0.27
5;201510;0.68
5;201602;0.77
6;201504;0.64
6;201505;0.67
6;201507;0.54
6;201509;0.28
6;201510;0.66
6;201602;0.74
7;201504;0.64
7;201505;0.69
7;201507;0.59
7;201509;0.27
7;201510;0.67
7;201602;0.74
8;201504;0.59
8;201505;0.58
8;201507;0.38
8;201509;0.25
8;201510;0.54
8;201602;0.7
9;201504;0.63
9;201505;0.64
9;201507;0.5
9;201509;0.29
9;201510;0.62
9;201602;0.69
10;201504;0.69
10;201505;0.71
10;201507;0.6
10;201509;0.3
10;201510;0.65
10;201602;0.75
11;201504;0.64
11;201505;0.67
11;201507;0.56
11;201509;0.26
11;201510;0.62
11;201602;0.67
12;201504;0.59
12;201505;0.64
12;201507;0.54
12;201509;0.28
12;201510;0.61
12;201602;0.67
13;201504;0.68
13;201505;0.71
13;201507;0.51
13;201509;0.34
13;201510;0.64
13;201602;0.75
14;201504;0.67
14;201505;0.71
14;201507;0.53
14;201509;0.31
14;201510;0.65
14;201602;0.75
15;201504;0.67
15;201505;0.69
15;201507;0.5
15;201509;0.26
15;201510;0.66
15;201602;0.74
16;201504;0.7
16;201505;0.72
16;201507;0.52
16;201509;0.17
16;201510;0.66
16;201602;0.76
17;201504;0.69
17;201505;0.72
17;201507;0.61
17;201509;0.28
17;201510;0.67
17;201602;0.74
18;201504;0.67
18;201505;0.69
18;201507;0.5
18;201509;0.26
18;201510;0.66
18;201602;0.74
19;201504;0.65
19;201505;0.5
19;201507;0.41
19;201509;0.17
19;201510;0.53
19;201602;0.69
20;201504;0.68
20;201505;0.72
20;201507;0.55
20;201509;0.2
20;201510;0.64
20;201602;0.76
21;201504;0.71
21;201505;0.73
21;201507;0.59
21;201509;0.17
21;201510;0.69
21;201602;0.75
22;201504;0.71
22;201505;0.74
22;201507;0.62
22;201509;0.24
22;201510;0.7
22;201602;0.77
23;201504;0.68
23;201505;0.65
23;201507;0.48
23;201509;0.17
23;201510;0.6
23;201602;0.72
24;201504;0.69
24;201505;0.72
24;201507;0.44
24;201509;0.32
24;201510;0.64
24;201602;0.76
25;201504;0.63
25;201505;0.67
25;201507;0.38
25;201509;0.18
25;201510;0.64
25;201602;0.75
26;201504;0.66
26;201505;0.69
26;201507;0.54
26;201509;0.3
26;201510;0.65
26;201602;0.74
27;201504;0.64
27;201505;0.64
27;201507;0.39
27;201509;0.29
27;201510;0.59
27;201602;0.74
28;201504;0.69
28;201505;0.71
28;201507;0.42
28;201509;0.14
28;201510;0.65
28;201602;0.76
29;201504;0.66
29;201505;0.69
29;201507;0.49
29;201509;0.13
29;201510;0.62
29;201602;0.74
30;201504;0.69
30;201505;0.71
30;201507;0.55
30;201509;0.29
30;201510;0.65
30;201602;0.76
31;201504;0.71
31;201505;0.75
31;201507;0.63
31;201509;0.29
31;201510;0.7
31;201602;0.75
32;201504;0.69
32;201505;0.69
32;201507;0.57
32;201509;0.31
32;201510;0.63
32;201602;0.74
33;201504;0.72
33;201505;0.75
33;201507;0.64
33;201509;0.31
33;201510;0.7
33;201602;0.76
34;201504;0.73
34;201505;0.76
34;201507;0.61
34;201509;0.26
34;201510;0.71
34;201602;0.75
35;201504;0.65
35;201505;0.66
35;201507;0.45
35;201509;0.27
35;201510;0.56
35;201602;0.59
36;201504;0.68
36;201505;0.69
36;201507;0.57
36;201509;0.3
36;201510;0.61
36;201602;0.7
37;201504;0.67
37;201505;0.73
37;201507;0.5
37;201509;0.26
37;201510;0.62
37;201602;0.68
38;201504;0.7
38;201505;0.73
38;201507;0.64
38;201509;0.33
38;201510;0.68
38;201602;0.74
39;201504;0.7
39;201505;0.73
39;201507;0.66
39;201509;0.33
39;201510;0.69
39;201602;0.74
40;201504;0.64
40;201505;0.66
40;201507;0.5
40;201509;0.27
40;201510;0.58
40;201602;0.65
41;201504;0.68
41;201505;0.66
41;201507;0.57
41;201509;0.28
41;201510;0.68
41;201602;0.69
42;201504;0.72
42;201505;0.75
42;201507;0.65
42;201509;0.33
42;201510;0.7
42;201602;0.76
43;201504;0.73
43;201505;0.76
43;201507;0.63
43;201509;0.33
43;201510;0.71
43;201602;0.77
44;201504;0.73
44;201505;0.76
44;201507;0.65
44;201509;0.32
44;201510;0.7
44;201602;0.77
45;201504;0.72
45;201505;0.75
45;201507;0.54
45;201509;0.26
45;201510;0.68
45;201602;0.77
46;201504;0.7
46;201505;0.74
46;201507;0.51
46;201509;0.26
46;201510;0.66
46;201602;0.74
47;201504;0.71
47;201505;0.73
47;201507;0.61
47;201509;0.34
47;201510;0.71
47;201602;0.75
48;201504;0.67
48;201505;0.7
48;201507;0.57
48;201509;0.34
48;201510;0.65
48;201602;0.71
49;201504;0.72
49;201505;0.74
49;201507;0.6
49;201509;0.35
49;201510;0.7
49;201602;0.77
50;201504;0.71
50;201505;0.74
50;201507;0.62
50;201509;0.3
50;201510;0.68
50;201602;0.76
