loc;cam;ph;p;k;ca;mg;al;ctc;sat;mo;arg;are;cas;acc
1;[0, 5);6.8;22.51;72.24;8.27;1.7;0;12.47;81.41;72.2;183.7;769.5;1.8;769.93
1;[5, 40);6.7;0.83;13.42;2.91;1.77;0;6.57;71.74;25.6;215;749.5;2.2;750.04
1;[40, 80);6.7;0.01;7.23;2.33;0.51;0;4.52;63.23;9.7;285.5;674.5;3.7;675.69
2;[0, 5);4.7;3.89;48.13;0.97;0.16;0.3;5.3;23.66;34.4;231.9;741;0.4;741.11
2;[5, 40);4.7;0.69;12.34;0.76;0.14;0.6;4.17;22.35;8.7;212.6;775;1.1;775.25
2;[40, 80);4.9;0.1;8.64;0.21;0;0.6;3.47;6.69;9.7;237;752;1.7;752.42
3;[0, 5);7.6;11.52;114.55;7.63;1.53;0;12.41;76.14;50.4;192.6;715.5;8.4;717.89
3;[5, 40);6.8;1.66;25.8;3.22;1.31;0;6.26;73.44;15.6;234.1;698.5;19;704.23
3;[40, 80);6.9;0.41;26.83;2.22;1.09;0;5.06;66.78;9.5;226;674.5;14.3;679.16
4;[0, 5);6.6;26.43;54.3;5.54;1.77;0;9.11;81.76;50.2;142.3;790;5.5;791.15
4;[5, 40);6.2;1.17;11.1;2.25;0.21;0;4.56;54.52;10;168.9;787.5;3.1;788.15
4;[40, 80);5;0.2;13.57;0.75;0.16;0.4;4.18;22.59;8.2;258.5;674;11.2;677.64
5;[0, 5);6;3.79;56.77;2.99;2.12;0;7.57;69.38;39.1;235.5;733;5.5;734.46
5;[5, 40);5.1;0.49;22.21;0.93;0.52;0.2;4.1;36.76;11.2;303.7;665;7.2;667.41
5;[40, 80);5.8;0.01;13.57;1.02;0.04;0.2;3.37;31.26;9.3;451.7;513.5;9.5;518.13
6;[0, 5);5.8;2.14;62.94;1.88;1.53;0;6.47;55.21;35;224.5;740.5;20.9;745.92
6;[5, 40);5.2;0.69;22.21;0.7;0.36;0.5;5.16;21.65;5.8;250;657.5;23.4;665.53
6;[40, 80);5.5;0.1;16.04;0.3;0.1;0.6;4.48;9.84;9.3;422.9;518;31.8;533.32
7;[0, 5);5.9;2.17;48.5;1.6;1.42;0;6.01;52.32;28.6;287.3;606.5;12.4;611.36
7;[5, 40);5.1;0.21;9.29;0.24;0.14;0.6;5.02;8.04;8.5;304.3;591;2.9;592.2
7;[40, 80);5.6;0.01;5.16;0.6;0.18;0.8;4.53;17.5;8.2;283.3;661;5;662.71
8;[0, 5);6.5;19.91;47.48;5.82;1.67;0;9.71;78.39;42.3;240.1;732.5;2;733.04
8;[5, 40);6.4;1.14;18.57;2.39;0.99;0;5.28;64.85;11.8;244.1;713.5;2.1;714.11
8;[40, 80);5.1;0.01;9.29;0.28;0.28;0.7;3.61;16.16;7.6;88.6;667.5;3.6;668.69
9;[0, 5);5.5;3.6;38.26;1.91;0.21;0;6.26;35.43;19.9;154.6;787;1.4;787.3
9;[5, 40);4.9;1.36;14.81;1.15;0.05;0.3;4.86;25.49;6.3;224.4;715;2.5;715.71
9;[40, 80);5;1.07;12.34;0.47;0.04;1;4.58;11.81;7.1;299.9;608;3.3;609.29
10;[0, 5);5.8;4.97;34.06;1.73;0.69;0.1;4.73;53.05;24.3;310.2;646;0.8;646.27
10;[5, 40);5;1.04;10.32;0.72;0.37;0.6;3.86;28.95;6.9;313.7;622;1.6;622.62
10;[40, 80);5.5;0.1;7.23;0.36;0.12;1.4;4.54;10.98;8.8;379.7;593;1.4;593.58
11;[0, 5);7.3;7.16;88.75;7.43;2.32;0;11.48;86.9;39.2;261.6;631;97.2;666.88
11;[5, 40);6;0.21;71.21;2.3;0.75;0;5.71;56.59;14.2;346.7;575.5;98.8;617.43
11;[40, 80);6.4;0.01;25.8;2.23;1.02;0;5.91;56.13;8.4;588.2;353;88.9;410.52
12;[0, 5);7;9.02;99.4;6.68;2.25;0;10.52;87.34;41.4;268.8;624.5;34.2;637.34
12;[5, 40);5.8;5.99;30.59;2.9;1.91;0;7.48;65.35;22.1;311;595.5;30.1;607.66
12;[40, 80);6.3;5.29;26.22;2;1.92;0;5.84;68.22;11.4;571.6;369;26.7;385.87
13;[0, 5);6.7;9.72;73.18;6.26;1.78;0;9.71;84.69;54.8;202.9;753.5;5.3;754.8
13;[5, 40);5.3;5.9;16.38;2.24;0.1;0.1;4.7;50.66;10.7;263.3;734.5;6.7;736.27
13;[40, 80);5.1;5.56;13.11;0.8;0.32;0.4;3.47;33.21;10.9;324;636;6.4;638.33
14;[0, 5);5.6;3.89;46.9;2.9;1.91;0;9.45;52.18;52.5;212.2;734;3.7;734.99
14;[5, 40);5.1;0.29;13.57;0.89;0.19;0.2;4.73;23.56;9.6;304.3;630.5;8.9;633.79
14;[40, 80);5.4;0.1;12.34;1.32;0.06;0;4;35.26;7.6;334.7;589.5;15.3;595.77
15;[0, 5);6.7;4.09;53.06;3.95;2.67;0;8.83;76.5;39.3;246.4;728;4.2;729.13
15;[5, 40);5.6;0.59;16.04;2.32;0.35;0.1;5.3;51.12;12.5;326.5;656.5;4.7;658.13
15;[40, 80);5.5;0.01;14.81;0.87;0.36;0.1;3.86;32.85;9.7;411.1;571;6;573.57
16;[0, 5);5.8;2.04;30.86;2.55;1.2;0.1;6.73;56.93;35.8;212.6;721.5;2.2;722.12
16;[5, 40);5.2;0.69;14.81;1.34;0.3;0.2;4.27;39.29;12.7;270.4;671.5;3.8;672.73
16;[40, 80);5.4;0.01;9.87;0.86;0.2;0.3;3.68;29.51;10.3;393.3;571.5;5.4;573.83
17;[0, 5);7.1;7.48;151.79;6.35;3.67;0;12.73;81.78;53.7;276.2;620;67.3;645.56
17;[5, 40);6.8;1.46;27.14;3.97;2.75;0;9.38;72.37;21.4;373.1;571.5;47.6;591.92
17;[40, 80);6.4;0.01;16.04;3.22;0.37;0;5.71;63.63;12.2;446.2;422.5;77.4;467.21
18;[0, 5);6.5;6.63;75.34;5.49;2.72;0;10.48;80.19;86.6;388.6;576;71.3;606.24
18;[5, 40);5.1;0.31;11.36;1.36;0.77;0.4;5.51;39.21;13.6;381.4;603.5;93.3;640.49
18;[40, 80);5.9;0.01;9.29;1.11;0.59;0;3.97;43.45;9.5;478.9;493.5;79.6;533.79
19;[0, 5);7.5;83.32;133.26;8.28;1.26;0;10.37;95.28;25.3;229.8;665.5;38.8;678.48
19;[5, 40);6.6;1.14;71.21;2.27;1.93;0;6.1;71.83;8.4;357.4;561;54.5;584.91
19;[40, 80);7.1;0.21;52.63;1.97;1.52;0;5.2;69.75;8.4;583.6;332.5;52.5;367.51
20;[0, 5);5.2;1.04;25.8;0.71;0.21;0.5;4.22;23.35;16.1;220.4;712;11.3;715.26
20;[5, 40);5;0.73;12.39;0.44;0.12;0.7;3.69;16.04;8;244.2;689.5;15;694.16
20;[40, 80);5.4;0.31;10.32;0.3;0.09;0.8;3.22;12.94;9;328.8;613.5;15.7;619.58
21;[0, 5);5.8;7.55;51.34;2.9;1.66;0.1;7.59;61.82;58.3;238.7;702.5;65.4;721.96
21;[5, 40);5.6;7.03;30.59;2.3;0.41;0.1;5.38;51.82;15;319.6;609;204.4;688.92
21;[40, 80);5.4;5.29;45.88;0.6;0.24;0.1;3.28;29.21;9.9;493.6;434.5;150.3;519.52
22;[0, 5);6.3;7.99;60.08;4.46;2.7;0.2;9.91;73.83;9.5;255.9;656;76.1;682.19
22;[5, 40);5.8;5.56;31.68;3.86;1.2;0;8.76;58.7;40.9;345.4;578;72.5;608.62
22;[40, 80);6.7;5.29;38.23;2.21;1.95;0;5.92;71.92;23.7;496.9;454;85.6;500.73
23;[0, 5);6;7.2;51.34;3.3;1.32;0;7.34;64.7;30.1;207.2;695;88.4;721.97
23;[5, 40);5.7;6.07;28.4;1.71;1;0;5.1;54.54;13.8;230.5;691;112.8;725.84
23;[40, 80);6.1;5.56;60.08;1.45;1.16;0;4.43;62.44;8.6;574;364.5;74.3;411.75
24;[0, 5);7.2;8.5;139.81;7.43;2.34;0;11.62;87.19;47.3;250.2;620.5;55.8;641.67
24;[5, 40);6;5.65;52.43;3.05;2.53;0;8.61;66.36;24.8;318.5;564;80;598.86
24;[40, 80);6.6;6.07;40.41;2.14;1.5;0;5.6;66.84;12.2;544.8;380.5;64.9;420.73
25;[0, 5);6.2;6.12;35.09;3.86;1.82;0;8.67;66.58;35.3;245.9;662;15.3;667.17
